编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
39,拓扑缺陷,9,TPQX,4,topological_defect,18,tuopuquexian,12
40,宇宙弦,9,YZX,3,cosmic_string,13,yuzhouxian,10
41,宇宙畴壁,9,YZCB,4,cosmic_domain_wall,18,yuzhouchoubi,12
42,磁单极子,9,CDJZ,4,magnetic_monopole,17,cidanjizi,9
43,重子不对称,9,ZZBDC,5,baryon_asymmetry,16,zhongzibuduicheng,17
44,重子数生成,9,ZZSSC,5,baryogenesis,12,zhongzishushengcheng,20
45,轻子数生成,9,QZSSC,5,leptogenesis,12,qingzishushengcheng,19
46,大爆炸核合成,9,DBZHHC,6,big_bang_nucleosynthesis,24,dabaozhahehecheng,17
47,原初核合成,9,YCHHC,5,primordial_nucleosynthesis,26,yuanchuhehecheng,16
48,中微子退耦,9,ZWZTO,5,neutrino_decoupling,19,zhongweizituiou,15
49,光子退耦,9,GZTO,4,photon_decoupling,17,guangzituiou,12
50,复合时期,9,FHSQ,4,recombination_epoch,19,fuheshiqi,9
51,再电离时期,9,ZDLSQ,5,reionization_epoch,18,zaidianlishiqi,14
52,声学峰,9,SXF,3,acoustic_peak,13,shengxuefeng,12
53,阻尼尾,9,ZNW,3,damping_tail,12,zuniwei,7
54,西尔克阻尼,9,XEKZN,5,silk_damping,12,xierkezuni,10
55,萨克斯-沃尔夫效应,9,SKSWEFXY,8,sachs_wolfe_effect,18,sakesiwoerfuxiaoying,20
56,积分萨克斯-沃尔夫效应,10,JFSKSWEFXY,10,integrated_sachs_wolfe_effect,29,jifensakesiwoerfuxiaoying,25
57,CMB偏振,9,CMBPZ,5,cmb_polarization,16,cmbpianzhen,11
58,E模偏振,9,EMPZ,4,e_mode_polarization,19,emopianzhen,11
59,B模偏振,9,BMPZ,4,b_mode_polarization,19,bmopianzhen,11
60,透镜B模,9,TJBM,4,lens_b_mold,11,toujingbmo,10
61,原初B模,10,YCBM,4,primordial_b_mode,17,yuanchubmo,10
62,宇宙剪切,9,YZJQ,4,cosmic_shear,12,yuzhoujianqie,13
63,弱透镜功率谱,9,RTJGLP,6,weak_lensing_power_spectrum,27,ruotoujinggonglvpu,18
64,星系巡天,9,XXXT,4,galaxy_survey,13,xingxixuntian,13
65,红移巡天,9,HYXT,4,redshift_survey,15,hongyixuntian,13
66,光度距离,9,GDJL,4,luminosity_distance,19,guangdujuli,11
67,角径距离,9,JJJL,4,angular_diameter_distance,25,jiaojingjuli,12
68,声学视界,9,SXSJ,4,sound_horizon,13,shengxueshijie,14
69,共动距离,9,GDJL,4,comoving_distance,17,gongdongjuli,12
70,视界问题,9,SJWT,4,horizon_problem,15,shijiewenti,11
71,平坦性问题,9,PTXWT,5,flatness_problem,16,pingtanxingwenti,16
72,磁单极问题,9,CDJWT,5,monopole_problem,16,cidanjiwenti,12
73,宇宙年龄,9,YZNL,4,age_of_the_universe,19,yuzhounianling,14
74,哈勃张力,9,HBZL,4,hubble_tension,14,habozhangli,11
75,S8张力,9,S8ZL,4,s8_tension,10,s8zhangli,9
76,星系偏置,9,XXPZ,4,galaxy_bias,11,xingxipianzhi,13
77,质量函数,9,ZLHS,4,mass_function,13,zhilianghanshu,14
78,普雷斯-谢克特形式,9,PLSXKTXS,8,press_schechter_formalism,25,puleisixieketexingshi,21
79,谢斯-托尔曼形式,9,XSTEMXS,7,sheth_tormen_formalism,22,xiesituoermanxingshi,20
80,线性增长率,9,XXZZL,5,linear_growth_rate,18,xianxingzengzhanglv,19
81,增长因子,9,ZZYZ,4,growth_factor,13,zengzhangyinzi,14
82,转移函数,9,ZYHS,4,transfer_function,17,zhuanyihanshu,13
83,物质功率谱,9,WZGLP,5,matter_power_spectrum,21,wuzhigonglvpu,13
84,重子反馈,9,ZZFK,4,baryonic_feedback,17,zhongzifankui,13
85,暗物质晕,9,AWZY,4,dark_matter_halo,16,anwuzhiyun,10
86,晕质量函数,9,YZLHS,5,halo_mass_function,18,yunzhilianghanshu,17
87,NFW轮廓,9,NFWLK,5,nfw_profile,11,nfwlunkuo,9
88,浓度参数,9,NDCS,4,concentration_parameter,23,nongducanshu,12
89,质量浓度关系,9,ZLNDGX,6,mass_concentration_relation,27,zhiliangnongduguanxi,20
90,星系并合树,9,XXBHS,5,galaxy_merger_tree,18,xingxibingheshu,15
91,半解析模型,9,BJXMX,5,semi_analytic_model,19,banjieximoxing,14
92,数值宇宙学,9,SZYZX,5,numerical_cosmology,19,shuzhiyuzhouxue,15
93,N体模拟,9,NTMN,4,n_body_simulation,17,ntimoni,7
94,流体宇宙模拟,9,LTYZMN,6,hydrodynamic_cosmological_simulation,36,liutiyuzhoumoni,15
95,初始条件生成,9,CSTJSC,6,initial_condition_generation,28,chushitiaojianshengcheng,24
96,宇宙网,9,YZW,3,cosmic_web,10,yuzhouwang,10
97,宇宙空洞,9,YZKD,4,cosmic_void,11,yuzhoukongdong,14
98,丝状结构,9,SZJG,4,filamentary_structure,21,sizhuangjiegou,14
99,墙状结构,9,QZJG,4,wall_like_structure,19,qiangzhuangjiegou,17
100,莱曼α森林,9,LMΑSL,5,lyman_alpha_forest,18,laimansenlin,12
101,21厘米宇宙学,9,21LMYZX,7,twenty_one_centimeter_cosmology,31,21limiyuzhouxue,15
102,21厘米功率谱,9,21LMGLP,7,twenty_one_centimeter_power_spectrum,36,21limigonglvpu,14
103,暗时代,9,ASD,3,dark_ages,9,anshidai,8
104,宇宙黎明,9,YZLM,4,cosmic_dawn,11,yuzhouliming,12
105,再电离泡,9,ZDLP,4,reionization_bubble,19,zaidianlipao,12
106,原初黑洞,10,YCHD,4,primordial_black_hole,21,yuanchuheidong,14
107,PBH质量函数,10,PBHZLHS,7,pbh_mass_function,17,pbhzhilianghanshu,17
108,暗辐射,9,AFS,3,dark_radiation,14,anfushe,7
109,有效中微子数,9,YXZWZS,6,effective_number_of_neutrinos,29,youxiaozhongweizishu,20
110,宇宙学贝叶斯推断,10,YZXBYSTD,8,cosmological_bayesian_inference,31,yuzhouxuebeiyesituiduan,23
