编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
41,弱场近似,8,RCJS,4,weak_field_approximation,24,ruochangjinshi,14
42,牛顿极限,8,NDJX,4,newtonian_limit,15,niudunjixian,12
43,后牛顿近似,9,HNDJS,5,post_newtonian_approximation,28,houniudunjinshi,15
44,史瓦西解,8,SWXJ,4,schwarzschild_solution,22,shiwaxijie,10
45,史瓦西度规,9,SWXDG,5,schwarzschild_metric,20,shiwaxidugui,12
46,史瓦西黑洞半径,9,SWXHDBJ,7,shiwaxiheidongbanjing,21,shiwaxiheidongbanjing,21
47,广义相对论事件视界,8,GYXDLSJSJ,9,guangyixiangduilunshijianshijie,31,guangyixiangduilunshijianshijie,31
48,视界,8,SJ,2,horizon,7,shijie,6
49,广义相对论黑洞,4,GYXDLHD,7,guangyixiangduilunheidong,25,guangyixiangduilunheidong,25
50,克尔黑洞,8,KEHD,4,kerr_black_hole,15,keerheidong,11
51,克尔度规,8,KEDG,4,kerr_metric,11,keerdugui,9
52,克尔纽曼度规,9,KENMDG,6,kerr_newman_metric,18,keerniumandugui,15
53,雷斯纳诺斯特朗度规,10,LSNNSTLDG,9,reissner_nordstrom_metric,25,leisinanuositelangdugui,23
54,广义相对论引力红移,8,GYXDLYLHY,9,guangyixiangduilunyinlihongyi,29,guangyixiangduilunyinlihongyi,29
55,光线偏折,8,GXPZ,4,deflection_of_light,19,guangxianpianzhe,16
56,水星近日点进动,10,SXJRDJD,7,perihelion_precession_of_mercury,32,shuixingjinridianjindong,24
57,夏皮罗时延,9,XPLSY,5,shapiro_time_delay,18,xiapiluoshiyan,14
58,广义相对论引力透镜,8,GYXDLYLTJ,9,guangyixiangduilunyinlitoujing,30,guangyixiangduilunyinlitoujing,30
59,爱因斯坦环,9,AYSTH,5,einstein_ring,13,aiyinsitanhuan,14
60,引力波,8,YLB,3,gravitational_wave,18,yinlibo,7
61,横向无迹规范,10,HXWJGF,6,transverse_traceless_gauge,26,hengxiangwujiguifan,19
62,四极辐射,10,SJFS,4,quadrupole_radiation,20,sijifushe,9
63,引力波源,8,YLBY,4,gravitational_wave_source,25,yinliboyuan,11
64,双黑洞并合,9,SHDBH,5,binary_black_hole_merger,24,shuangheidongbinghe,19
65,双中子星并合,9,SZZXBH,6,binary_neutron_star_merger,26,shuangzhongzixingbinghe,23
66,弗里德曼度规,9,FLDMDG,6,friedmann_metric,16,fulidemandugui,14
67,罗伯逊沃克度规,10,LBXWKDG,7,robertson_walker_metric,23,luoboxunwokedugui,17
68,弗里德曼引力方程,10,FLDMYLFC,8,fulidemanyinlifangcheng,23,fulidemanyinlifangcheng,23
69,相对论尺度因子,8,XDLCDYZ,7,xiangduilunchiduyinzi,21,xiangduilunchiduyinzi,21
70,哈勃参数,8,HBCS,4,hubble_parameter,16,habocanshu,10
71,广义相对论宇宙红移,8,GYXDLYZHY,9,guangyixiangduilunyuzhouhongyi,30,guangyixiangduilunyuzhouhongyi,30
72,共动坐标,8,GDZB,4,comoving_coordinate,19,gongdongzuobiao,15
73,宇宙学原理,10,YZXYL,5,cosmological_principle,22,yuzhouxueyuanli,15
74,均匀性,8,JYX,3,homogeneity,11,junyunxing,10
75,各向同性,8,GXTX,4,isotropy,8,gexiangtongxing,15
76,临界密度,8,LJMD,4,critical_density,16,linjiemidu,10
77,密度参数,8,MDCS,4,density_parameter,17,miducanshu,10
78,广义相对论暗能量,8,GYXDLANL,8,guangyixiangduilunannengliang,29,guangyixiangduilunannengliang,29
79,广义相对论暗物质,8,GYXDLAWZ,8,guangyixiangduilunanwuzhi,25,guangyixiangduilunanwuzhi,25
80,广义相对论宇宙微波背景,9,GYXDLYZWBBJ,11,guangyixiangduilunyuzhouweibobeijing,36,guangyixiangduilunyuzhouweibobeijing,36
81,德西特时空,9,DXTSK,5,de_sitter_spacetime,19,dexiteshikong,13
82,反德西特时空,9,FDXTSK,6,anti_de_sitter_spacetime,24,fandexiteshikong,16
83,奇点,8,QD,2,singularity,11,qidian,6
84,奇点定理,9,QDDL,4,singularity_theorem,19,qidiandingli,12
85,彭罗斯图,10,PLST,4,penrose_diagram,15,pengluositu,11
86,克鲁斯卡尔坐标,10,KLSKEZB,7,kruskal_coordinate,18,kelusikaerzuobiao,17
87,爱丁顿芬克尔斯坦坐标,10,ADDFKESTZB,10,eddington_finkelstein_coordinate,32,aidingdunfenkeersitanzuobiao,28
88,雷恰杜里方程,10,LQDLFC,6,raychaudhuri_equation,21,leiqiadulifangcheng,19
89,能量条件,9,NLTJ,4,energy_condition,16,nengliangtiaojian,17
90,弱能量条件,10,RNLTJ,5,weak_energy_condition,21,ruonengliangtiaojian,20
91,强能量条件,10,QNLTJ,5,strong_energy_condition,23,qiangnengliangtiaojian,22
92,零能量条件,10,LNLTJ,5,null_energy_condition,21,lingnengliangtiaojian,21
93,正交标架,8,ZJBJ,4,orthonormal_frame,17,zhengjiaobiaojia,16
94,四脚场,8,SJC,3,tetrad_field,12,sijiaochang,11
95,挠率,8,NL,2,torsion,7,naolv,5
96,ADM分解,9,ADMFJ,5,adm_decomposition,17,admfenjie,9
97,空间度规,8,KJDG,4,spatial_metric,14,kongjiandugui,13
98,拉普斯函数,9,LPSHS,5,lapse_function,14,lapusihanshu,12
99,位移矢量,8,WYSL,4,shift_vector,12,weiyishiliang,13
100,外曲率,9,WQL,3,extrinsic_curvature,19,waiqulv,7
101,初值问题,8,CZWT,4,initial_value_problem,21,chuzhiwenti,11
102,哈密顿约束,10,HMDYS,5,hamiltonian_constraint,22,hamidunyueshu,13
103,动量约束,8,DLYS,4,momentum_constraint,19,dongliangyueshu,15
104,约束方程,9,YSFC,4,constraint_equation,19,yueshufangcheng,15
105,旋量联络,10,XLLL,4,spin_connection,15,xuanlianglianluo,16
