编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
37,局部类域论,11,JBLYL,5,local_class_domain_theory,25,jubuleiyulun,12
38,全局类域论,11,QJLYL,5,global_domain_theory,20,quanjuleiyulun,14
39,阿廷互反律,11,ATHFL,5,artyn_law_of_reciprocity,24,atinghufanlv,12
40,赫克字符,11,HKZF,4,heck_character,14,hekezifu,8
41,格罗森字符,11,GLSZF,5,grossen_character,17,geluosenzifu,12
42,狄利克雷特征,11,DLKLTZ,6,dirichlet_characteristic,24,dilikeleitezheng,16
43,L函数,10,LHS,3,L_function,10,lhanshu,7
44,自守L函数,11,ZSLHS,5,automorphic_l_function,22,zishoulhanshu,13
45,哈斯韦伊L函数,11,HSWYLHS,7,haasweil_l_function,19,hasiweiyilhanshu,16
46,ζ函数,10,ΖHS,3,zeta_function,13,hanshu,6
47,局部因子,10,JBYZ,4,local_factor,12,jubuyinzi,9
48,欧拉乘积,11,OLCJ,4,euler_product,13,oulachengji,11
49,函数方程,10,HSFC,4,function_equation,17,hanshufangcheng,15
50,特殊值,10,TSZ,3,special_value,13,teshuzhi,8
51,贝赫斯温纳戴尔猜想,11,BHSWNDECX,9,bechswinner_conjecture,22,beihesiwennadaiercaixiang,25
52,布洛赫加藤猜想,12,BLHJTCX,7,bloch_garten_conjecture,23,buluohejiatengcaixiang,22
53,泰特猜想,10,TTCX,4,tate_conjecture,15,taitecaixiang,13
54,霍奇猜想,10,HQCX,4,hodge_conjecture,16,huoqicaixiang,13
55,莫德尔猜想,11,MDECX,5,model_conjecture,16,modeercaixiang,14
56,法尔廷斯定理,12,FETSDL,6,faltings_theorem,16,faertingsidingli,16
57,朗格猜想,10,LGCX,4,lange_conjecture,16,langgecaixiang,14
58,abc猜想,10,ABCCX,5,abc_conjecture,14,abccaixiang,11
59,伊瓦萨瓦理论,11,YWSWLL,6,iwasava_theory,14,yiwasawalilun,13
60,伊瓦萨瓦代数,12,YWSWDS,6,ivasava_algebra,15,yiwasawadaishu,14
61,主猜想,10,ZCX,3,main_conjecture,15,zhucaixiang,11
62,p进L函数,10,PJLHS,5,p_adic_l_function,17,pjinlhanshu,11
63,库默尔理论,11,KMELL,5,kummer_theory,13,kumoerlilun,11
64,库默尔扩张,12,KMEKZ,5,kummer_expansion,16,kumoerkuozhang,14
65,有限平坦群概形,11,YXPTQGX,7,finite_flat_group_outline,25,youxianpingtanqungaixing,24
66,巴尔索蒂泰特群,11,BESDTTQ,7,barthoutite_group,17,baersuoditaitequn,17
67,p可除群,10,PKCQ,4,p_is_divisible_group,20,pkechuqun,9
68,迪厄多内模,12,DEDNM,5,dieudon_internal_mold,21,dieduoneimo,11
69,晶体上同调,11,JTSTD,5,crystal_cohomology,18,jingtishangtongdiao,19
70,德拉姆上同调,11,DLMSTD,6,dram_cohomology,15,delamushangtongdiao,19
71,平展上同调,11,PZSTD,5,flattened_cohomology,20,pingzhanshangtongdiao,21
72,l进上同调,11,LJSTD,5,l_cohomology,12,ljinshangtongdiao,17
73,p进霍奇理论,11,PJHQLL,6,p_adic_hodge_theory,19,pjinhuoqililun,14
74,德拉姆表示,11,DLMBS,5,drum_said,9,delamubiaoshi,13
75,晶体表示,10,JTBS,4,crystal_representation,22,jingtibiaoshi,13
76,半稳定表示,12,BWDBS,5,semi_stable_representation,26,banwendingbiaoshi,17
77,霍奇泰特权,11,HQTTQ,5,hochitay_privilege,18,huoqitaitequan,14
78,比较定理,10,BJDL,4,comparison_theorem,18,bijiaodingli,12
79,周期环,10,ZQH,3,periodic_ring,13,zhouqihuan,10
80,丰泰纳环,11,FTNH,4,fontena_ring,12,fengtainahuan,13
81,代数基本群,11,DSJBQ,5,algebraic_fundamental_group,27,daishujibenqun,14
82,平展基本群,11,PZJBQ,5,flattened_fundamental_group,27,pingzhanjibenqun,16
83,阿贝尔概形,11,ABEGX,5,abelian_outline,15,abeiergaixing,13
84,赫克算子,10,HKSZ,4,heck_operator,13,hekesuanzi,10
85,自守表示,10,ZSBS,4,autonomous_expression,21,zishoubiaoshi,13
86,朗兰兹对应,11,LLZDY,5,langlands_correspondence,24,langlanziduiying,16
87,几何类域论,12,JHLYL,5,geometric_class_theory,22,jiheleiyulun,12
88,阿拉克洛夫几何,11,ALKLFJH,7,araklov_geometry,16,alakeluofujihe,14
89,格林函数,10,GLHS,4,green_function,14,gelinhanshu,11
90,算术交点数,11,SSJDS,5,arithmetic_intersection_number,30,suanshujiaodianshu,18
91,算术黎曼罗赫定理,12,SSLMLHDL,8,arithmetic_riemann_rohe_theorem,31,suanshulimanluohedingli,23
92,法尔廷斯高度,11,FETSGD,6,faltings_height,15,faertingsigaodu,15
93,局部高度配对,11,JBGDPD,6,local_height_pairing,20,jubugaodupeidui,15
94,高度机器,10,GDJQ,4,height_machine,14,gaodujiqi,9
95,希尔伯特不可约定理,12,XEBTBKYDL,9,hilbert_irreducible_theorem,27,xierbotebukeyuedingli,21
96,切博塔廖夫密度定理,11,QBTLFMDDL,9,chebotarev_density_theorem,26,qiebotaliaofumidudingli,23
97,弱逼近,10,RBJ,3,weak_approximation,18,ruobijin,8
98,强逼近,10,QBJ,3,forceful_approach,17,qiangbijin,10
99,哈斯原理,11,HSYL,4,haas_principle,14,hasiyuanli,10
100,布劳尔马宁障碍,11,BLEMNZA,7,brauermanning_handicap,22,bulaoermaningzhangai,20
